dataset,version,source,tags,region,year,added,note,url
hydrobasins,v1.c,build,latest supported,af ar as au eu gr na sa si,,2014-07-01,Global watershed boundaries,data.hydrosheds.org/file/hydrobasins/standard
irena,2025H2,primary,latest supported,earth,,2024-06-01,IRENA Renewable Energy Capacity Statistics,github.com/pypsa-meets-earth/temporary_storage/raw/refs/heads/main/datasets/IRENA_Statistics_Extract_2025H2.xlsx
landcover,Mar2026,primary,latest supported,earth,,2020-04-07,ESA WorldCover 2020,d1gam3xoknrgr2.cloudfront.net/current/WDPA_Mar2026_Public_shp.zip
hydrobasins,v1.c,tutorial,latest supported,af,,2014-07-01,Global watershed boundaries,data.hydrosheds.org/file/hydrobasins/standard
natura_earth,v1.0,tutorial,latest supported,earth,,2024-06-01,Natura Earth tutorial dataset,sandbox.zenodo.org/records/323567/files/natura_wpda_CC0.zip
natura_earth,v1.0,archive,latest supported,earth,,2024-06-01,Natura Earth tutorial dataset,drive.google.com/file/d/1H-Y7p8UgnbEzJgo9qPc54BpDXS8loX7Y
natura_earth,v1.0,primary,latest supported,earth,,2024-06-01,Natura Earth dataset,sandbox.zenodo.org/records/323567/files/natura_wpda_CC0.zip
cutout-era5,v1.0,primary,latest supported,zm,2013,2026-05-24,Zambia Cutout,sandbox.zenodo.org/records/501170/files/cutout-2013-era5.nc
cutout-era5,v1.0,primary,latest supported,zm,2023,2026-05-24,Zambia Cutout,sandbox.zenodo.org/records/499379/files/cutout-2023-era5.nc
cutout-era5,v1.0,primary,latest supported,zm,2024,2026-05-24,Zambia Cutout,sandbox.zenodo.org/records/499392/files/cutout-2024-era5.nc
cutout-era5,v1.0,primary,latest supported,zm,2025,2026-05-24,Zambia Cutout,sandbox.zenodo.org/records/488187/files/cutout-2025-era5.nc
zm-biomass,v1.0,primary,latest supported,zm,,2026-05-28,Zambia Biomass Data,sandbox.zenodo.org/records/501547/files/biomass_data.csv
inflow-glofas,v1.0,primary,latest supported,zm,2001,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2001-glofas.nc
inflow-glofas,v1.0,primary,latest supported,zm,2002,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2002-glofas.nc
inflow-glofas,v1.0,primary,latest supported,zm,2013,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2013-glofas.nc
inflow-glofas,v1.0,primary,latest supported,zm,2023,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2023-glofas.nc
inflow-glofas,v1.0,primary,latest supported,zm,2024,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2024-glofas.nc
inflow-glofas,v1.0,primary,latest supported,zm,2025,2026-06-11,Zambia Inflow,zenodo.org/records/19740377/files/zm-2025-glofas.nc
